model,shift,distance_m,base_bed_elevation_m,forecast_2033_bed_elevation_m,ten_year_change_m,development_coefficient_a,abs_a_lt_0_3,level_ratio_pass,in_sample_mae
raw_interval,3.0,2000.0,39.4,112.59863353686583,73.19863353686583,-0.16756899601369835,True,False,0.35926698734094265
raw_interval,3.0,2005.0,39.4,104.43077143180699,65.030771431807,-0.15679993670473488,True,False,0.38997906973637164
raw_interval,3.0,2010.0,39.4,103.5090845783046,64.1090845783046,-0.1553842756078123,True,False,0.3964195687034122
raw_interval,3.0,2015.0,39.33,105.42518105067886,66.09518105067886,-0.15821296896303044,True,False,0.3854252740407391
raw_interval,3.0,2020.0,39.2,102.07525458955354,62.875254589553535,-0.15488067271563352,True,False,0.36612764478276505
raw_interval,3.0,2025.0,39.06503916449087,76.95854123493828,37.89350207044741,-0.11649889846648948,True,False,0.4123345271206613
raw_interval,3.0,2030.0,38.9,57.90386380682132,19.003863806821325,-0.07477861057880746,True,False,0.4942782090959925
raw_interval,3.0,2035.0,38.63377772443078,53.9284853979753,15.294707673544522,-0.06471444333309376,True,False,0.5387701203890547
raw_interval,3.0,2040.0,38.36192232227427,55.96285340052485,17.600931078250582,-0.07179944657055128,True,False,0.5500935155901256
raw_interval,3.0,2045.0,38.300000000000004,61.149135277199946,22.84913527719994,-0.09852779671730783,True,False,0.309876479183389
raw_interval,3.0,2050.0,38.300000000000004,80.15854799756818,41.85854799756817,-0.16402660699442032,True,False,0.12083378077337503
annualized,2.5,1820.0,42.04196616541354,2978.05800907492,2936.0160429095063,-0.6232197720319728,False,False,0.23945002886430305
annualized,2.5,1825.0,41.90878399122808,1748.17757427385,1706.268790282622,-0.5550061246416939,False,False,0.12372420950638106
annualized,2.5,1830.0,41.800030075187976,981.7407065960417,939.9406765208538,-0.4815170287967655,False,False,0.06278487285278697
annualized,2.5,1835.0,41.72498543233083,845.890527368135,804.1655419358042,-0.4637461300709634,False,False,0.07275160499879653
annualized,2.5,1840.0,41.69012812011664,788.1035248398584,746.4133967197417,-0.4555217266167653,False,False,0.07680875916028401
annualized,2.5,1845.0,41.67297212636734,644.7646368809187,603.0916647545514,-0.4290335362769123,False,False,0.11130626839515564
annualized,2.5,1850.0,41.65968786428882,636.9892095333703,595.3295216690815,-0.4275665893430431,False,False,0.11379347282043534
annualized,2.5,1855.0,41.642288414447506,638.6217778197024,596.9794894052549,-0.4279242892641282,False,False,0.11286290517157811
annualized,2.5,1860.0,41.621377362641574,608.5146870695844,566.8933097069428,-0.4212356311728618,False,False,0.13048160129741357
annualized,2.5,1865.0,41.6,549.2191368073081,507.61913680730817,-0.40883683703392165,False,False,0.1514834892714815
annualized,2.5,1870.0,41.579166666666666,551.2946682780896,509.7155016114229,-0.4125559356096074,False,False,0.12053258830215179
annualized,2.5,1875.0,41.55833333333334,487.12780316424914,445.5694698309158,-0.39561580171050775,False,False,0.1634236509004686
annualized,2.5,1880.0,41.53515625,408.38724583484543,366.85208958484543,-0.3683878720601776,False,False,0.2585954899905898
annualized,2.5,1885.0,41.50925925925927,437.9387966717003,396.429537412441,-0.3774664687673547,False,False,0.23769513310717133
annualized,2.5,1890.0,41.5,453.73526526885445,412.23526526885445,-0.38256628778700497,False,False,0.22202300767458577
annualized,2.5,1895.0,41.5,495.72117174702726,454.22117174702726,-0.39509873794620787,False,False,0.18553103058925355
annualized,2.5,1900.0,41.5,526.5266184200907,485.02661842009064,-0.40347767383296956,False,False,0.16268630804456818
annualized,2.5,1905.0,41.48900067552012,492.68982573710866,451.20082506158855,-0.39363253438683354,False,False,0.19395255753484433
annualized,2.5,1910.0,41.46018235253434,448.326169442476,406.86598708994165,-0.3794884087946554,False,False,0.24139439958876957
annualized,2.5,1915.0,41.43925559359996,404.85878990772466,363.4195343141247,-0.36399457025950505,False,False,0.29683334798462
annualized,2.5,1920.0,41.423032546285256,359.06570192929945,317.6426693830142,-0.34571829888032707,False,False,0.36525265995042855
